,loc,prod,ExportValue,time,diversity,ubiquity,mcp,eci,pci,density,coi,cog,rca,POPIS,description,relatedness,WorldExport,EUExport,EUTopExporter,EUWorldMarketShare,hhi,euhhi,CZE_Rank,CZE_WorldMarketShare,CZE_EUMarketShare,PCI_Rank,PCI_Percentile,relatedness_Rank,relatedness_Percentile,export_Rank
2019,CZE,382751,221813.0,2022,1436,13,1,1.5726864950895576,2.6178602677142875,0.3265418593192442,1.3450586607221944,0.0,2.3567233694323155,Směsi obsahující trifluormethan (HFC-23) (kromě těch obsahujících chlorfluoruhlovodíky (CFC) nebo hydrochlorfluoruhlovod,"Mixtures containing halogenated derivatives of methane, ethane or propane: containing trifluoromethan (HFC-23) or perfluorocarbons (PFCs) but not containing chlorofluorocarbons (CFCs) or hydrochlorofluorocarbons (HCFCs): containing trifluoromethane (HFC-2",0.32654185931924423,9784282.0,6569935.0,FRA,0.6714784999042341,0.15556945973599498,0.26854358695963676,11.0,0.02267034004130298,0.03376182564972104,4913.0,87.63824473778095,4119.0,73.4748483767392,11.0
2020,CZE,382759,3299.0,2022,1436,6,0,1.5726864950895576,1.6777430992363496,0.20712033386808998,1.3450586607221944,0.3513897061950376,0.0061710238356437125,"Směsi obsahující perfluoruhlovodíky (PFC) (kromě těch obsahujících chlorfluoruhlovodíky (CFC), hydrochlorfluoruhlovodíky","Mixtures containing halogenated derivatives of methane, ethane or propane: containing trifluoromethan (HFC-23) or perfluorocarbons (PFCs) not containing chlorofluorocarbons (CFCs) or hydrochlorofluorocarbons (HCFCs): other mixtures n.e.c. in subheading 38",0.20712033386808995,55574513.0,7367458.0,ESP,0.13256900694748328,0.25031114219905454,0.29891116667025264,31.0,5.93617437547316e-05,0.00044777995341133944,3546.0,63.25365679628969,130.0,2.3189439885836602,31.0
2021,CZE,382761,2548649.0,2022,1436,10,0,1.5726864950895576,1.0231736303881425,0.26032692171558725,1.3450586607221944,0.1614634929312557,0.6875593198696456,"Směsi obsahující jiné hydrofluoruhlovodíky (HFC) než v položkách 3827 11 až 3827 59, obsahující >= 15 % hmotnostních 1,1","Mixtures containing halogenated derivatives of methane, ethane or propane: containing other hydrofluorocarbons (HFCs) but not containing chlorofluorocarbons (CFCs) or hydrochlorofluorocarbons (HCFCs): containing 15% or more by mass of 1,1,1-trifluoroethan",0.26032692171558725,385345622.0,63634939.0,FRA,0.16513730886502714,0.5556652372066999,0.11826967400149609,15.0,0.006613930078593185,0.04005109520101842,2552.0,45.52265429896539,1575.0,28.094898323225117,15.0
2022,CZE,382762,1699382.9999999998,2022,1436,10,1,1.5726864950895576,2.5580892393972188,0.32434925674513554,1.3450586607221944,0.0,4.498950243640973,"Směsi obsahující jiné hydrofluoruhlovodíky (HFC) než v položkách 3827 11 až 3827 59, obsahující >= 55 % hmotnostních pen","Mixtures containing halogenated derivatives of methane, ethane or propane: containing other hydrofluorocarbons (HFCs) but not containing chlorofluorocarbons (CFCs) or hydrochlorofluorocarbons (HCFCs): other mixtures, not included in the subheading above,",0.32434925674513554,39267265.0,16881379.0,NLD,0.4299097225131417,0.2752089816956334,0.34258118528903575,4.0,0.04327734564655827,0.10066612449137004,4838.0,86.30039243667498,4057.0,72.36889047449162,4.0
2023,CZE,382763,1679268.0,2022,1436,6,0,1.5726864950895576,1.5798598152914687,0.22894708295866562,1.3450586607221944,0.20859713393514362,0.2648179511944121,"Směsi obsahující jiné hydrofluoruhlovodíky (HFC) než v položkách 3827 11 až 3827 59, obsahující >= 40 % hmotnostních pen","Mixtures containing halogenated derivatives of methane, ethane or propane: containing other hydrofluorocarbons (HFCs) but not containing chlorofluorocarbons (CFCs) or hydrochlorofluorocarbons (HCFCs): other mixtures not included in the subheadings above,",0.2289470829586657,659209056.0,124192450.0,NLD,0.1883961527373192,0.44117499522525455,0.38283083837790016,18.0,0.0025473982566161834,0.013521498287536803,3373.0,60.16767748840528,447.0,7.973599714591509,18.0
2024,CZE,382764,1130605.0,2022,1436,12,1,1.5726864950895576,2.1589805414370726,0.30390275636628544,1.3450586607221944,0.0,1.20068135241324,"Směsi obsahující jiné hydrofluoruhlovodíky (HFC) než v položkách 3827 11 až 3827 59, obsahující >= 30 % hmotnostních 1,1","Mixtures containing halogenated derivatives of methane, ethane or propane: containing other hydrofluorocarbons (HFCs) but not containing chlorofluorocarbons (CFCs) or hydrochlorofluorocarbons (HCFCs): other mixtures, not included in the subheadings above,",0.30390275636628544,97888959.0,36774768.0,NLD,0.37567840516109685,0.23265819411765337,0.23133272860603907,12.0,0.011549872544869949,0.03074404167553144,4268.0,76.13271494826971,3435.0,61.27363539065287,12.0
2025,CZE,382765,1596101.0,2022,1436,8,0,1.5726864950895576,2.2429748346511467,0.24954784303556782,1.3450586607221944,0.24613888820005222,0.822414305652456,"Směsi obsahující jiné hydrofluoruhlovodíky (HFC) než v položkách 3827 11 až 3827 59, obsahující >= 20 % hmotnostních dif","Mixtures containing halogenated derivatives of methane, ethane or propane: containing other hydrofluorocarbons (HFCs) but not containing chlorofluorocarbons (CFCs) or hydrochlorofluorocarbons (HCFCs): other mixtures, not included in the subheadings above,",0.2495478430355678,201753133.0,132310528.0,NLD,0.6558040811192756,0.2897965250851485,0.6125021036872605,12.0,0.007911158435393417,0.012063295522484802,4390.0,78.30895469140206,1099.0,19.603995718872635,12.0
2026,CZE,382768,212958.0,2022,1436,7,0,1.5726864950895576,0.3395382828509646,0.24540500627951253,1.3450586607221944,0.09902133108819046,0.2827342762407822,"Směsi obsahující jiné hydrofluoruhlovodíky (HFC) než v položkách 3827 11 až 3827 59, obsahující látky položek 2903 41 až","Mixtures containing halogenated derivatives of methane, ethane or propane: containing other hydrofluorocarbons (HFCs) but not containing chlorofluorocarbons (CFCs) or hydrochlorofluorocarbons (HCFCs): other mixtures, not included in the subheadings above,",0.24540500627951256,78300777.0,64631611.0,FRA,0.8254274539319068,0.44708494139369015,0.6416754384235769,14.0,0.0027197431259207046,0.003294951134669999,1779.0,31.733856582233322,939.0,16.749910809846593,14.0
2027,CZE,382769,406491.00000000006,2022,1436,13,0,1.5726864950895576,2.1575488964037177,0.26578796882777317,1.3450586607221944,0.444277275361481,0.5000000475140916,Směsi obsahující jiné hydrofluoruhlovodíky (HFC) než v položkách 3827 11 až 3827 59 (kromě těch obsahujících chlorfluoru,"Mixtures containing halogenated derivatives of methane, ethane or propane: containing other hydrofluorocarbons (HFCs) but not containing chlorofluorocarbons (CFCs) or hydrochlorofluorocarbons (HCFCs): n.e.c. in items no. 3827.5 and 3827.6, not containing",0.26578796882777317,84514546.0,36890701.0,NLD,0.43650120300001377,0.16175242193727304,0.3762666608021321,20.0,0.00480971642443657,0.011018793055735105,4266.0,76.09703888690689,1819.0,32.44737780948983,20.0
2028,CZE,382790,2122365.0,2022,1436,20,1,1.5726864950895576,1.9974769298059942,0.32735655813122594,1.3450586607221944,0.0,1.854328355520072,"Směsi obsahující halogenované deriváty methanu, ethanu nebo propanu, jinde neuvedené ani nezahrnuté","Mixtures containing halogenated derivatives of methane, ethane or propane: n.e.c. in subheading no 3827",0.3273565581312258,118982752.0,46231422.0,FRA,0.38855566225262633,0.10267344649049608,0.19860965141102474,12.0,0.017837585400613358,0.04590741336054945,4025.0,71.79807349268641,4137.0,73.79593292900464,12.0
2029,CZE,390110,76773825.0,2022,1436,29,0,1.5726864950895576,1.3331738326384575,0.3087758871324324,1.3450586607221944,0.05461939488786575,0.22930324294383733,"Polyethylen,hustota pod 0,94","Ethylene polymers: in primary forms, polyethylene having a specific gravity of less than 0.94",0.3087758871324324,34805955099.0,9890070798.0,BEL,0.2841488121750795,0.06989005651121044,0.1328462844688802,42.0,0.0022057669379170627,0.0077627174332791865,3013.0,53.74598644309668,3595.0,64.12772029967891,42.0
2030,CZE,390120,563943648.0,2022,1436,27,1,1.5726864950895576,1.188185893207724,0.3581040510917259,1.3450586607221944,0.0,1.664019694016332,"Polyethylen,hustota nad 0,94","Ethylene polymers: in primary forms, polyethylene having a specific gravity of 0.94 or more",0.358104051091726,35231231278.0,8605706681.0,DEU,0.2442635800348482,0.0706335631644274,0.12034610337392736,14.0,0.016006924184683614,0.06553135830728414,2797.0,49.89297181591152,4929.0,87.92365322868355,14.0
2031,CZE,390130,16453484.0,2022,1436,9,0,1.5726864950895576,3.2869959078886155,0.2426966152493962,1.3450586607221944,0.5786647358382081,0.21301824870545844,Kopolymery ethylen-vinylacetátové,"Ethylene polymers: in primary forms, ethylene-vinyl acetate copolymers",0.24269661524939606,8029557960.0,1674637885.0,BEL,0.2085591627014048,0.13485444566398727,0.1900558325015309,23.0,0.002049114544283083,0.009825099591605142,5428.0,96.82483053870853,842.0,15.019621833749556,23.0
2032,CZE,390140,8665355.0,2022,1436,15,0,1.5726864950895576,1.5643159869006322,0.2520645071299751,1.3450586607221944,0.25311503393011064,0.03920167979498448,"Ethylen-alfa-olefinové kopolymery o hustotě < 0,94 v primárních formách","Ethylene polymers: in primary forms, ethylene-alpha-olefin copolymers, having a specific gravity of less than 0.94",0.2520645071299751,22979059862.0,4216969676.0,NLD,0.18351358590494454,0.10935222664025249,0.17457845438436054,39.0,0.0003770978905159527,0.0020548772378698984,3352.0,59.79307884409562,1193.0,21.280770602925436,39.0
2033,CZE,390190,35271894.0,2022,1436,21,0,1.5726864950895576,2.5185472450059048,0.2942308323049876,1.3450586607221944,0.37132089059240136,0.5341594753200489,Polymery ethylenu ost.v primárních formách,"Ethylene polymers: in primary forms, n.e.c. in heading no. 3901",0.2942308323049876,6864492234.0,2247235798.0,BEL,0.3273710161502384,0.07113511350286139,0.15358008865509798,29.0,0.005138310715146189,0.015695680013370808,4786.0,85.37281484124154,3058.0,54.548697823760264,29.0
2034,CZE,390210,436277959.99999994,2022,1436,28,1,1.5726864950895576,1.2853260536329658,0.351216534899282,1.3450586607221944,-0.0,1.4207314033294167,Polypropylen,"Propylene, other olefin polymers: polypropylene in primary forms",0.35121653489928206,31922865469.0,8825659037.0,DEU,0.2764682589528348,0.07163836690231512,0.10312093132783008,20.0,0.0136666290318977,0.049432904463109495,2940.0,52.44381020335355,4739.0,84.53442739921513,20.0
2035,CZE,390220,739114.0,2022,1436,9,0,1.5726864950895576,2.877354956770701,0.25857455325556516,1.3450586607221944,0.7010500547305332,0.058112381080933646,Polyisobutylen,"Propylene, other olefin polymers: polyisobutylene in primary forms",0.25857455325556505,1322188368.0,509736722.0,DEU,0.3855250388952144,0.1650348635650997,0.40765060017777105,27.0,0.0005590080943746436,0.0014499916684440875,5154.0,91.93721013200143,1503.0,26.810560114163394,27.0
2036,CZE,390230,117157991.00000001,2022,1436,20,0,1.5726864950895576,2.3336962096847294,0.3103595305946508,1.3450586607221944,0.4179659008938207,0.7056776501082415,Kopolymery propylenu,"Propylene, other olefin polymers: propylene copolymers in primary forms",0.31035953059465077,17259019801.0,7601840143.0,BEL,0.44045607633867734,0.06929417340893204,0.14912087926544781,22.0,0.006788218123094789,0.015411793565257034,4528.0,80.77060292543703,3646.0,65.03745986443097,22.0
2037,CZE,390290,16919277.0,2022,1436,17,0,1.5726864950895576,3.3076765163596495,0.30768872996017477,1.3450586607221944,0.6773895237109344,0.4981684163617473,"Polymery propylenu,olefínů ost.v prim.formách","Propylene, other olefin polymers: n.e.c. in heading no. 3902, in primary forms",0.3076887299601747,3530662336.0,1498085291.0,BEL,0.4243071549847581,0.09891631971241086,0.1874697422107957,20.0,0.004792097173237016,0.011293934398558888,5437.0,96.98537281484124,3560.0,63.503389225829466,20.0
